CPU_name,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
Intel Celeron G4900,2,3.1,,Intel UHD Graphics 610
Intel Core i3-7350K,2,4.2,,Intel HD Graphics 630
Intel Pentium E5400,2,2.7,,
Intel Xeon E5-1650 V4,6,3.6,4,
Intel Celeron G5900,2,3.4,,Intel UHD Graphics 610
AMD Ryzen 7 1800X,8,3.6,4,
Intel Core i7-6800K,6,3.4,3.6,
Intel Core i5-4690,4,3.5,3.9,Intel HD Graphics 4600
Intel Core i3-6100,2,3.7,,Intel HD Graphics 530
Intel Core i7-6950X,10,3,3.5,
Intel Core i5-10500,6,3.1,4.5,Intel UHD Graphics 630
Intel Core i3-10305,4,3.8,4.5,Intel UHD Graphics 630
Intel Core i9-10900F,10,2.8,5.2,
Intel Core i7-5820K,6,3.3,3.6,
Intel Xeon E5-2680 V4,14,2.4,3.3,
Intel Core i7-8700K,6,3.7,4.7,Intel UHD Graphics 630
Intel Core i5-6600,4,3.3,3.9,Intel HD Graphics 530
Intel Core i7-14700F,20,2.1,5.4,
Intel Xeon E5-2660 V4,14,2,3.2,
Intel Core i5-9400F,6,2.9,4.1,
AMD A6-7400K,2,3.5,3.9,Radeon R5 (on die)
Intel Core i7-2600K,4,3.4,,Intel HD Graphics 3000
AMD Threadripper 1920X,12,3.5,4,
Intel Core i3-4150,2,3.5,,Intel HD Graphics 4400
Intel Core i3-7100,2,3.9,,Intel HD Graphics 630
Intel Core i5-2500K,4,3.3,,Intel HD Graphics 3000
AMD Ryzen 9 PRO 7945,12,3.7,5.4,Radeon
Intel Core i5-4670K,4,3.4,,Intel HD Graphics 4600
Intel Core i7-14700,20,2.1,5.4,Intel UHD Graphics 770
Intel Core i5-11500,6,2.7,4.6,Intel UHD Graphics 750
Intel Core i9-10900X,10,3.7,4.7,
AMD FX-8320,8,3.5,,
Intel Core i9-12900F,16,2.4,5.1,
Intel Xeon E5-2650 V4,12,2.2,2.9,
AMD Athlon X4 845,4,3.5,3.8,
Intel Core i5-7600,4,3.5,4.1,Intel HD Graphics 630
Intel Core i5-9500,6,3,4.4,Intel UHD Graphics 630
Intel Core i5-3570,4,3.4,,Intel HD Graphics 2500
AMD Ryzen 7 8700G,8,4.2,5.1,Radeon 780M
Intel Core i7-4790,4,3.6,4,Intel HD Graphics 4600
Intel Core i9-9900,8,3.1,5,Intel UHD Graphics 630
AMD Ryzen 7 5700X3D,8,3,4.1,
Intel Core i5-6500,4,3.2,3.6,Intel HD Graphics 530
Intel Core i7-2700K,4,3.5,,Intel HD Graphics 3000
Intel Core 2 Duo E8400,2,3,,
Intel Core i5-8400,6,2.8,4,Intel UHD Graphics 630
Intel Pentium Gold G6400,2,4,,Intel UHD Graphics 610
Intel Core i3-10105,4,3.7,4.4,Intel UHD Graphics 630
Intel Core i9-12900,16,2.4,5.1,Intel UHD Graphics 770
Intel Core i9-10900,10,2.8,5.2,Intel UHD Graphics 630
Intel Pentium Gold G7400,2,3.7,,Intel UHD Graphics 710
Intel Core i9-9900K,8,3.6,5,Intel UHD Graphics 630
Intel Core i9-11900,8,2.5,5.2,Intel UHD Graphics 750
Intel Core i7-6900K,8,3.2,3.7,
Intel Core i7-8086K,6,4,5,Intel UHD Graphics 630
Intel Core i5-4440,4,3.1,3.3,Intel HD Graphics 4600
Intel Core i9-14900,24,2,5.6,Intel UHD Graphics 770
AMD Athlon II X2 240,2,2.8,,
Intel Core i9-7960X,16,2.8,4.4,
AMD Ryzen 3 3200G,4,3.6,4,Radeon Vega 8
AMD Threadripper 2990WX,32,3,4.2,
Intel Xeon E5-2687W V4,12,3,3.5,
Intel Celeron G440,1,1.6,,Intel HD Graphics
AMD Ryzen 9 3900X,12,3.8,4.6,
Intel Core i3-9100,4,3.6,4.2,Intel UHD Graphics 630
Intel Core i3-2100,2,3.1,,Intel HD Graphics 2000
Intel Pentium E5700,2,3,,
AMD Threadripper 1950X,16,3.4,4,
Intel Core i7-7700,4,3.6,4.2,Intel HD Graphics 630
Intel Core i7-8700,6,3.2,4.6,Intel UHD Graphics 630
Intel Core i9-9900K (Standard Folding Box),8,3.6,5,Intel UHD Graphics 630
AMD Ryzen 5 3600,6,3.6,4.2,
Intel Xeon E5-2620,6,2,,
Intel Core i7-7700K,4,4.2,4.5,Intel HD Graphics 630
Intel Core i7-6850K,6,3.6,3.8,
AMD Ryzen 3 1300X,4,3.5,3.7,
AMD Threadripper 2920X,12,3.5,4.3,
Intel Core i9-13900T,24,1.1,5.3,Intel UHD Graphics 770
AMD Ryzen 5 2600,6,3.4,3.9,
AMD Athlon 200GE,2,3.2,,Radeon Vega 3
Intel Core i9-11900F,8,2.5,5.2,
Intel Core i9-7900X,10,3.3,4.5,
Intel Xeon E5-2670 V3,12,2.3,3.1,
Intel Core i5-8600,6,3.1,4.3,Intel UHD Graphics 630
Intel Core i5-2500,4,3.3,,Intel HD Graphics 2000
Intel Core i5-13600,14,2.7,5,Intel UHD Graphics 770
AMD Threadripper 2950X,16,3.5,4.4,
AMD Ryzen 5 3600X,6,3.8,4.4,
Intel Celeron E3500,2,2.7,,
AMD FX-9590,8,4.7,5,
AMD Ryzen 3 1200 (12nm),4,3.1,3.4,
