CPU_name,CPU_price,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
AMD Threadripper 2950X,1075,16,3.5,4.4,
Intel Core i5-8600,289,6,3.1,4.3,Intel UHD Graphics 630
Intel Celeron G4900,48.59,2,3.1,,Intel UHD Graphics 610
Intel Celeron E3500,14.99,2,2.7,,
Intel Xeon E5-2667 V3,1038.27,8,3.2,3.6,
Intel Pentium Gold G7400,108.4,2,3.7,,Intel UHD Graphics 710
Intel Xeon E5-2687W V4,2077.48,12,3,3.5,
Intel Core i5-11500,158.14,6,2.7,4.6,Intel UHD Graphics 750
Intel Core i7-6850K,120,6,3.6,3.8,
Intel Core i3-7350K,56.99,2,4.2,,Intel HD Graphics 630
AMD Ryzen 5 3600,262.31,6,3.6,4.2,
Intel Pentium E5700,19.98,2,3,,
Intel Core i7-7820X,375,8,3.6,4.5,
Intel Core i9-13900T,,24,1.1,5.3,Intel UHD Graphics 770
Intel Core i7-6950X,632.79,10,3,3.5,
AMD Ryzen 3 3200G,,4,3.6,4,Radeon Vega 8
AMD Ryzen 3 1200 (12nm),105,4,3.1,3.4,
Intel Xeon E5-2640 V3,43.22,8,2.6,3.4,
AMD Ryzen 3 1300X,,4,3.5,3.7,
Intel Xeon E5-2698 V3,,16,2.3,3.6,
Intel Core i7-7700K,,4,4.2,4.5,Intel HD Graphics 630
AMD Ryzen 5 2600,,6,3.4,3.9,
Intel Core i5-4440,100,4,3.1,3.3,Intel HD Graphics 4600
AMD FX-9590,302.58,8,4.7,5,
AMD Threadripper 2970WX,1150,24,3,4.2,
Intel Core i7-4820K,120,4,3.7,3.9,
AMD Ryzen 7 3800X,,8,3.9,4.5,
Intel Core i3-2100,49,2,3.1,,Intel HD Graphics 2000
Intel Core i9-10920X,799,12,3.5,4.8,
Intel Core i7-7800X,499.99,6,3.5,4,
Intel Core i5-2500,,4,3.3,,Intel HD Graphics 2000
Intel Core i9-9900K (Standard Folding Box),465,8,3.6,5,Intel UHD Graphics 630
AMD FX-6350,100,6,3.9,,
Intel Xeon E5-2683 V4,189.95,16,2.1,3,
AMD Athlon II X4 640,57.01,4,3,,
Intel Core i7-9700,299.8,8,3,4.7,Intel HD Graphics 630
Intel Xeon E5-2670 V3,,12,2.3,3.1,
Intel Celeron G5925,45.99,2,3.6,,Intel UHD Graphics 610
Intel Core i7-4770S,119,4,3.1,,Intel HD Graphics 4600
Intel Core i7-9700K,,8,3.6,4.9,Intel UHD Graphics 630
Intel Core i5-7400T,145,4,2.4,3,Intel HD Graphics 630
Intel Core i7-7740X,250,4,4.3,4.5,
Intel Core i9-7920X,586.2,12,2.9,4.4,
Intel Core i3-3220,,2,3.3,,Intel HD Graphics 2500
Intel Core i9-10940X,820,14,3.3,4.8,
Intel Core i7-5930K,,6,3.5,3.7,
Intel Core i7-6700K,,4,4,4.2,Intel HD Graphics 530
AMD Ryzen 5 3600X,,6,3.8,4.4,
Intel Core i3-2120,170,2,3.3,,Intel HD Graphics 2000
Intel Core i5-13600,,14,2.7,5,Intel UHD Graphics 770
Intel Celeron G3900,39.95,2,2.8,,Intel HD Graphics 510
Intel Celeron G3930T,39,2,2.7,,Intel HD Graphics 610
Intel Pentium G4560,91.34,2,3.5,,Intel HD Graphics 610
Intel Core i5-4670,63.5,4,3.4,,Intel HD Graphics 4600
Intel Core i7-5960X,,8,3,3.5,
Intel Core i5-8500T,,6,2.1,3.5,Intel UHD Graphics 630
AMD A6-3670K,,4,2.7,,Radeon HD 6530D
Intel Core i3-4170,,2,3.7,,Intel HD Graphics 4400
AMD FX-8300,112.02,8,3.3,,
AMD Ryzen 5 2600X,,6,3.6,4.2,
Intel Xeon E5-2699 V3,,18,2.3,3.6,
AMD 5350,120,4,2.05,,Radeon HD 8400
Intel Core i5-10600,349.95,6,3.3,4.8,Intel UHD Graphics 630
AMD FX-6100,72.8,6,3.3,,
Intel Core i3-530,45,2,2.93,,Intel HD Graphics
Intel Core i7-3930K,250,6,3.2,,
AMD 2650,169,2,1.45,,Radeon HD 8240
Intel Core i5-13500T,,14,1.6,4.6,Intel UHD Graphics 770
Intel Pentium G2020,34.99,2,2.9,,Intel HD Graphics
Intel Core i5-4670S,549,4,3.1,3.8,Intel HD Graphics 4600
Intel Core i9-7980XE,1106.2,18,2.6,4.4,
Intel Core i7-4770K,237.43,4,3.5,3.9,Intel HD Graphics 4600
Intel Pentium G3258,51.36,2,3.2,,Intel HD Graphics
Intel Xeon E5-2630,25.18,6,2.3,,
Intel Core i7-3770S,75,4,3.1,,Intel HD Graphics 4000
AMD Ryzen 9 3900,,12,3.1,,
Intel Core i5-9600,195,6,3.1,4.6,Intel UHD Graphics 630
Intel Core i7-6700,394.98,4,3.4,4,Intel HD Graphics 530
AMD FX-8370,281.98,8,4,4.3,
Intel Core i5-3450,69,4,3.1,,Intel HD Graphics 2500
Intel Core i5-3330,,4,3,,Intel HD Graphics 2500
AMD Ryzen 5 3400G,,4,3.7,4.2,Radeon Vega 11
Intel Pentium E5400,,2,2.7,,
Intel Core i9-9980XE,1498.95,18,3,4.4,
Intel Core i7-980X Extreme Edition,148.02,6,3.33,,
Intel Core i7-7800X,277,6,3.5,4,
Intel Pentium Gold G5400,72.95,2,3.7,,Intel UHD Graphics 610
Intel Pentium E2220,19.98,2,2.4,,
AMD FX-4300,,4,3.8,,
AMD FX-4350,122.96,4,4.2,,
Intel Core i3-13100T,,4,2.5,4.2,Intel UHD Graphics 730
AMD FX-6120,58.53,6,3.5,4.1,
Intel Core 2 Quad Q9550,52.55,4,2.83,,
Intel Core i5-9600K,,6,3.7,4.6,Intel UHD Graphics 630
Intel Core i3-10305,169.99,4,3.8,4.5,Intel UHD Graphics 630
Intel Celeron G5920,42.99,2,3.5,,Intel UHD Graphics 610
AMD Athlon X2 340,120,2,3.2,,
